This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
   50.000000    0.013857    0.000000    0.019710   0.010544   0.007793   0.001946
   51.000000    0.013846    0.000000    0.019721   0.010544   0.007793   0.001946
   52.000000    0.013835    0.000000    0.019732   0.010544   0.007793   0.001946
   53.000000    0.013824    0.000000    0.019743   0.010544   0.007793   0.001946
   54.000000    0.013813    0.000000    0.019754   0.010544   0.007793   0.001946
   55.000000    0.013802    0.000000    0.019765   0.010544   0.007793   0.001946
   56.000000    0.013792    0.000000    0.019776   0.010544   0.007793   0.001946
   57.000000    0.013781    0.000000    0.019786   0.010544   0.007793   0.001946
   58.000000    0.013771    0.000000    0.019797   0.010544   0.007793   0.001946
   59.000000    0.013761    0.000000    0.019807   0.010544   0.007793   0.001946
   60.000000    0.013750    0.000000    0.019817   0.010544   0.007793   0.001946
   61.000000    0.013740    0.000000    0.019827   0.010544   0.007793   0.001946
   62.000000    0.013730    0.000000    0.019838   0.010544   0.007793   0.001946
   63.000000    0.013720    0.000000    0.019847   0.010544   0.007793   0.001946
   64.000000    0.013711    0.000000    0.019857   0.010544   0.007793   0.001946
   65.000000    0.013701    0.000000    0.019867   0.010544   0.007793   0.001946
   66.000000    0.013691    0.000000    0.019877   0.010544   0.007793   0.001946
   67.000000    0.013682    0.000000    0.019886   0.010544   0.007793   0.001946
   68.000000    0.013672    0.000000    0.019896   0.010544   0.007793   0.001946
   69.000000    0.013663    0.000000    0.019905   0.010544   0.007793   0.001946
   70.000000    0.013654    0.000000    0.019915   0.010544   0.007793   0.001946
Finished simulation at a C/O ratio of 1.3
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    1.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    2.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    3.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    4.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    5.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    6.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    7.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    8.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    9.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
   10.000000    0.032885    0.010275    0.000000   0.000000   0.000002   0.000001
   11.000000    0.032757    0.010019    0.000000   0.000000   0.000258   0.000129
   12.000000    0.032357    0.009218    0.000000   0.000000   0.001059   0.000530
   13.000000    0.025205    0.000478    0.004581   0.002543   0.009238   0.003906
   14.000000    0.022575    0.000006    0.010959   0.005990   0.008373   0.003089
   15.000000    0.021903    0.000000    0.012649   0.007109   0.008093   0.002676
   16.000000    0.021536    0.000000    0.013541   0.007729   0.007957   0.002434
   17.000000    0.021282    0.000000    0.014160   0.008143   0.007854   0.002278
   18.000000    0.021088    0.000000    0.014646   0.008446   0.007762   0.002173
   19.000000    0.020931    0.000000    0.015051   0.008680   0.007676   0.002099
   20.000000    0.020798    0.000000    0.015398   0.008866   0.007596   0.002046
