This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
Finished simulation at a C/O ratio of 1.8
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    1.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    2.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    3.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    4.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    5.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    6.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    7.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    8.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
    9.000000    0.016469    0.013725    0.000000   0.000000   0.000000   0.000000
   10.000000    0.016469    0.013724    0.000000   0.000000   0.000000   0.000000
   11.000000    0.016450    0.013686    0.000000   0.000000   0.000039   0.000019
   12.000000    0.016427    0.013640    0.000000   0.000001   0.000084   0.000042
   13.000000    0.016401    0.013587    0.000000   0.000001   0.000137   0.000068
   14.000000    0.016369    0.013523    0.000000   0.000001   0.000202   0.000100
   15.000000    0.016328    0.013443    0.000000   0.000001   0.000282   0.000140
   16.000000    0.016275    0.013336    0.000000   0.000001   0.000389   0.000193
   17.000000    0.016197    0.013181    0.000000   0.000002   0.000544   0.000270
   18.000000    0.016065    0.012918    0.000000   0.000004   0.000808   0.000400
   19.000000    0.015706    0.012205    0.000000   0.000015   0.001527   0.000749
   20.000000    0.004680    0.002163    0.008811   0.005652   0.011452   0.003006
   21.000000    0.002981    0.002160    0.010610   0.005652   0.011464   0.003006
   22.000000    0.002443    0.002157    0.011162   0.005652   0.011471   0.003006
   23.000000    0.002134    0.002154    0.011474   0.005652   0.011476   0.003006
   24.000000    0.001925    0.002151    0.011684   0.005652   0.011482   0.003006
   25.000000    0.001771    0.002149    0.011837   0.005652   0.011487   0.003006
   26.000000    0.001651    0.002147    0.011955   0.005652   0.011492   0.003006
   27.000000    0.001555    0.002144    0.012048   0.005652   0.011496   0.003006
   28.000000    0.001475    0.002142    0.012125   0.005652   0.011501   0.003006
   29.000000    0.001409    0.002140    0.012188   0.005652   0.011506   0.003006
   30.000000    0.001352    0.002137    0.012242   0.005652   0.011510   0.003006
   31.000000    0.001302    0.002135    0.012288   0.005652   0.011515   0.003006
   32.000000    0.001259    0.002133    0.012327   0.005652   0.011519   0.003006
   33.000000    0.001222    0.002131    0.012361   0.005652   0.011524   0.003006
   34.000000    0.001188    0.002129    0.012391   0.005652   0.011528   0.003006
   35.000000    0.001158    0.002127    0.012416   0.005652   0.011532   0.003006
   36.000000    0.001132    0.002124    0.012439   0.005652   0.011537   0.003006
   37.000000    0.001108    0.002122    0.012459   0.005652   0.011541   0.003006
   38.000000    0.001086    0.002120    0.012477   0.005652   0.011545   0.003006
   39.000000    0.001067    0.002118    0.012493   0.005652   0.011550   0.003006
   40.000000    0.001049    0.002116    0.012506   0.005652   0.011554   0.003006
   41.000000    0.001032    0.002114    0.012519   0.005652   0.011558   0.003006
   42.000000    0.001018    0.002112    0.012529   0.005652   0.011562   0.003006
   43.000000    0.001004    0.002110    0.012539   0.005652   0.011566   0.003006
   44.000000    0.000992    0.002107    0.012547   0.005652   0.011571   0.003006
   45.000000    0.000980    0.002105    0.012555   0.005652   0.011575   0.003006
   46.000000    0.000970    0.002103    0.012561   0.005652   0.011579   0.003006
   47.000000    0.000960    0.002101    0.012567   0.005652   0.011583   0.003006
   48.000000    0.000951    0.002099    0.012572   0.005652   0.011587   0.003006
   49.000000    0.000942    0.002097    0.012576   0.005652   0.011592   0.003006
   50.000000    0.000935    0.002095    0.012580   0.005652   0.011596   0.003006
   51.000000    0.000927    0.002093    0.012583   0.005652   0.011600   0.003006
   52.000000    0.000921    0.002091    0.012586   0.005652   0.011604   0.003006
   53.000000    0.000914    0.002089    0.012588   0.005652   0.011608   0.003006
   54.000000    0.000909    0.002086    0.012590   0.005652   0.011613   0.003006
   55.000000    0.000903    0.002084    0.012591   0.005652   0.011617   0.003006
   56.000000    0.000898    0.002082    0.012592   0.005652   0.011621   0.003006
   57.000000    0.000893    0.002080    0.012593   0.005652   0.011625   0.003006
   58.000000    0.000889    0.002078    0.012593   0.005652   0.011629   0.003006
   59.000000    0.000884    0.002076    0.012593   0.005652   0.011633   0.003006
   60.000000    0.000881    0.002074    0.012593   0.005652   0.011638   0.003006
   61.000000    0.000877    0.002072    0.012593   0.005652   0.011642   0.003006
   62.000000    0.000873    0.002070    0.012592   0.005652   0.011646   0.003006
   63.000000    0.000870    0.002068    0.012591   0.005652   0.011650   0.003006
   64.000000    0.000867    0.002066    0.012590   0.005652   0.011654   0.003006
   65.000000    0.000864    0.002064    0.012589   0.005652   0.011658   0.003006
   66.000000    0.000861    0.002061    0.012588   0.005652   0.011663   0.003006
   67.000000    0.000858    0.002059    0.012586   0.005652   0.011667   0.003006
   68.000000    0.000856    0.002057    0.012585   0.005652   0.011671   0.003006
   69.000000    0.000853    0.002055    0.012583   0.005652   0.011675   0.003006
   70.000000    0.000851    0.002053    0.012581   0.005652   0.011679   0.003006
Finished simulation at a C/O ratio of 0.6
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    1.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    2.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    3.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    4.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    5.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    6.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    7.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    8.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
    9.000000    0.030298    0.010821    0.000000   0.000000   0.000000   0.000000
   10.000000    0.030297    0.010819    0.000000   0.000000   0.000001   0.000001
   11.000000    0.030199    0.010625    0.000000   0.000001   0.000196   0.000097
   12.000000    0.029989    0.010205    0.000000   0.000003   0.000617   0.000305
   13.000000    0.026840    0.004264    0.000002   0.000698   0.006906   0.002755
   14.000000    0.020320    0.000946    0.005841   0.003076   0.010131   0.003269
   15.000000    0.019231    0.000945    0.007037   0.003076   0.010133   0.003269
   16.000000    0.018624    0.000945    0.007688   0.003076   0.010134   0.003269
   17.000000    0.018203    0.000945    0.008135   0.003076   0.010135   0.003269
   18.000000    0.017881    0.000945    0.008474   0.003076   0.010135   0.003269
   19.000000    0.017621    0.000945    0.008747   0.003076   0.010135   0.003269
   20.000000    0.017403    0.000945    0.008975   0.003076   0.010136   0.003269
   21.000000    0.017216    0.000945    0.009170   0.003076   0.010136   0.003269
   22.000000    0.017051    0.000945    0.009341   0.003076   0.010136   0.003269
   23.000000    0.016905    0.000945    0.009492   0.003076   0.010136   0.003269
   24.000000    0.016774    0.000945    0.009628   0.003076   0.010136   0.003269
   25.000000    0.016655    0.000945    0.009751   0.003076   0.010136   0.003269
   26.000000    0.016546    0.000945    0.009864   0.003076   0.010137   0.003269
   27.000000    0.016445    0.000945    0.009968   0.003076   0.010137   0.003269
